sentence,gt
"""লোকে কী বলবে"" ভাবলে আমার বিয়ে করার দরকার নেই।","""লোকে কী বলবে"" ভাবলে আমার বিয়ে করার দরকার নেই।"
"ভাই শ্রীশ, চুপচাপ যে!","ভাই শ্রীশ, চুপচাপ যে!"
"হ্যারিসবার্গের পাশেই, পেন্সিলভেনিয়ায়।","হ্যারিসবার্গের পাশেই, পেন্সিলভেনিয়ায়।"
ম্যাজিস্ট্রেট কি অন্ধ যারা ২০ থেকে ৫০ লাখ টাকা দৈনিক চাঁদাবাজি করে তাদের কে আইনের আওতায় আনা হচ্ছে না।,ম্যাজিস্ট্রেট কি অন্ধ$$ যারা ২০ থেকে ৫০ লাখ টাকা দৈনিক চাঁদাবাজি করে $তাদের কে$ আইনের আওতায় আনা হচ্ছে না$।$
তাঁর সঙ্গে বাঁশিতে যুগলবন্দী বাজাবেন অ্যামি অ্যাওয়ার্ডে মনোনয়ন পাওয়া শিল্পী রনু মজুমদার।,তাঁর সঙ্গে বাঁশিতে $যুগলবন্দী$ বাজাবেন অ্যামি অ্যাওয়ার্ডে মনোনয়ন পাওয়া শিল্পী রনু মজুমদার।
অবচেতন মনে ছিল নৌকাডুবির কথা।,অবচেতন মনে ছিল নৌকাডুবির কথা।
চেন্নাইয়ে ইরফান আহমেদ নামে একজন কেমিকেল ইঞ্জিনিয়ার আছে।,চেন্নাইয়ে ইরফান আহমেদ নামে একজন কেমিকেল ইঞ্জিনিয়ার আছে।
কেয়ারটেকার গভর্নমেন্টকে পদত্যাগ করতে হবে।,কেয়ারটেকার গভর্নমেন্টকে পদত্যাগ করতে হবে।
দশ বছরের আমি বুঝে গেছি যে ছেলেরা মোটেও ভালো নয়; একটা দুটো নমুনা দেখে মনে মনে ছেলেদের বন্ধু হবো না ঠিক করে ফেলেছি।,দশ বছরের আমি বুঝে গেছি যে ছেলেরা মোটেও ভালো নয়; $একটা দুটো$ নমুনা দেখে মনে মনে ছেলেদের বন্ধু $হবো$ না ঠিক করে ফেলেছি।
চোখ কান নাক বন্ধ করে এক মনে কাজ করে যাচ্ছেন মুজিব সাহেব।,$চোখ কান নাক$ বন্ধ করে এক মনে কাজ করে যাচ্ছেন মুজিব সাহেব।
ব্যক্তি মানুষের প্রয়োজন অনুযায়ী নিরাকার ব্রহ্ম বা একেশ্বরকেও সাকার মূর্তি হিসেবে পূজো করা যেতে পারে।,ব্যক্তি মানুষের প্রয়োজন অনুযায়ী নিরাকার ব্রহ্ম বা একেশ্বরকেও সাকার মূর্তি হিসেবে পূজো করা যেতে পারে।
কিন্তু বিয়ের পরও কয়েক বছর বিভিন্ন জায়গায় লুকিয়ে জীবন যাপন করতে হয়েছে নবদম্পতিকে।,কিন্তু বিয়ের পরও কয়েক বছর বিভিন্ন জায়গায় লুকিয়ে $জীবন যাপন$ করতে হয়েছে নবদম্পতিকে।
তিনি এসি ওয়াট-মিটারটি পেটেন্ট করেছিলেন।,তিনি এসি $ওয়াট-মিটারটি$ পেটেন্ট করেছিলেন।
আমি দুঃখিত!,আমি দুঃখিত!
আমি তার ভাতিজা!,আমি তার ভাতিজা$!$
পরীক্ষামূলক প্রমাণ আছে যে এটি ব্যথাদায়ক ডায়াবেটিক নিউরোপ্যাথির জন্য উপকারী হতে পারে।,পরীক্ষামূলক প্রমাণ আছে $যে$ এটি ব্যথাদায়ক ডায়াবেটিক নিউরোপ্যাথির জন্য উপকারী হতে পারে।
বেথেলহেম পর্যন্ত আসতে সূর্য ডোবা শুরু হয়ে গেল।,বেথেলহেম পর্যন্ত আসতে সূর্য ডোবা শুরু হয়ে গেল।
তুমিই ঠিক বলেছ।,তুমিই ঠিক বলেছ।
বাদ দাও বাবা!,বাদ দাও$$ বাবা!
কিছুদিন পর সিদ্ধান্তে নিয়ে ভাইয়ের পাশের ঐ বেডে উঠলাম।,কিছুদিন পর সিদ্ধান্তে নিয়ে ভাইয়ের পাশের ঐ বেডে উঠলাম।
চল অপারেশন করি।,চল অপারেশন করি।
আমি এটাকে স্যাক্সন আর্কিটেকচার বলি।,আমি এটাকে স্যাক্সন আর্কিটেকচার বলি।
"মানুষ কাছে আসবে তার ভালো লাগা, মূল্যবোধ কিংবা আনন্দের কারণ দেখে।","মানুষ কাছে আসবে তার ভালো লাগা, মূল্যবোধ কিংবা আনন্দের কারণ দেখে।"
মার্কিন যুক্তরাষ্ট্রে নিযুক্ত ইউক্রেনের রাষ্ট্রদূত আজ রাতে এখানে এসেছেন।,মার্কিন যুক্তরাষ্ট্রে নিযুক্ত ইউক্রেনের রাষ্ট্রদূত আজ রাতে এখানে এসেছেন।
কিন্তু ঐ শেহজাদী ঐ সাধারণ মানুষের মধ্যে তার শেহজাদা দেখতে পেয়েছে।,কিন্তু ঐ $শেহজাদী$ ঐ সাধারণ মানুষের মধ্যে তার শেহজাদা দেখতে পেয়েছে।
"চিঠি পেয়েছেন এমন কয়েকজন প্রকাশক দাবি করেন, তাঁদের স্টল অনেক পেছনে ছিল।","চিঠি পেয়েছেন এমন কয়েকজন প্রকাশক দাবি করেন, তাঁদের স্টল অনেক পেছনে ছিল।"
"অথচ আমরা আমাদের সুন্দরবনকে কিভাবে ধ্বংসের দিকে এগিয়ে নিয়ে যাচ্ছি রাষ্ট্রযন্ত্র ব্যাবহারের মাধ্যমে, আর সেই ধ্বংস সাধনের জন্যও কি বিশাল বিপুল মহাপরিকল্পনা করা হয়েছে।","অথচ আমরা আমাদের সুন্দরবনকে $কিভাবে$ ধ্বংসের দিকে এগিয়ে নিয়ে যাচ্ছি রাষ্ট্রযন্ত্র $ব্যাবহারের$ মাধ্যমে, আর সেই ধ্বংস সাধনের জন্যও কি বিশাল বিপুল মহাপরিকল্পনা করা হয়েছে।"
তার চেয়ে একটু খানি টিভি দেখা যাক।,তার চেয়ে $একটু খানি$ টিভি দেখা যাক।
যাকাত ছাড়া দ্বীন পরিপূর্ণতা লাভ করে না।,যাকাত ছাড়া দ্বীন পরিপূর্ণতা লাভ করে না।
তাঁহাকে ছাড়া আর কাহাকেও পড়া শুনাইতে পারিব শুনাতে পারবোনা।,$তাঁহাকে$ ছাড়া আর $কাহাকেও$ পড়া $শুনাইতে$ $পারিব$ $শুনাতে$ $পারবোনা$।
না খেয়ে টাইপ করা বেশ কঠিন হবে।,না খেয়ে টাইপ করা বেশ কঠিন হবে।
"অন্নদাবাবু জিজ্ঞাসা করিলেন, কী যোগেন, একলা যে?","অন্নদাবাবু জিজ্ঞাসা $করিলেন$, কী যোগেন, একলা যে?"
টেকনিশিয়ান রা খাবার খাইয়ে আবার হজম করিয়ে দিবে আদনান ভায় এর,$টেকনিশিয়ান রা$ খাবার খাইয়ে আবার হজম করিয়ে দিবে আদনান $ভায় এর$$$
প্রস্তাবে বর্বর পাক সেনাবাহিনীর যে সব কর্মকর্তা এই বুদ্ধিজীবী হত্যার জন্য দায়ী তাদের বিচারের জন্য আন্তর্জাতিক ট্রাইবুনাল গঠনের দাবী জানানো হয়।,প্রস্তাবে বর্বর $পাক সেনাবাহিনীর$ যে সব কর্মকর্তা এই বুদ্ধিজীবী হত্যার জন্য দায়ী তাদের বিচারের জন্য আন্তর্জাতিক ট্রাইবুনাল গঠনের $দাবী$ জানানো হয়।
১৯৬৯ সালে ভারত সরকার তাঁকে পদ্মভূষণ উপাধিতে ভূষিত করেন।,১৯৬৯ সালে ভারত সরকার তাঁকে পদ্মভূষণ উপাধিতে ভূষিত করেন।
এ ছাড়া তার রচিত ছোট ছোট অসংখ্য গল্প নিয়ে উপেন্দ্রকিশোর সমগ্র করা হয়েছে।,$এ ছাড়া$ তার রচিত ছোট ছোট অসংখ্য গল্প নিয়ে $$উপেন্দ্রকিশোর সমগ্র$$ করা হয়েছে।
জগতে তারা অমরতা পেয়েছেন মৃত্যু পরবর্তী এই অমরতা কি তাদের কোন কাজে আসে।,জগতে তারা অমরতা পেয়েছেন মৃত্যু পরবর্তী এই অমরতা কি তাদের কোন কাজে আসে$।$
শুরুতে মৃত্যু অনিয়মিত থাকলেও ওই বছরের ৪ এপ্রিল থেকে করোনায় মৃত্যু ছিল নিত্যদিনের ঘটনা। ,শুরুতে মৃত্যু অনিয়মিত থাকলেও ওই বছরের ৪ এপ্রিল থেকে করোনায় মৃত্যু ছিল নিত্যদিনের ঘটনা। 
নলিনবাবু আপনার ঐ বাসাটাতেই দিন-কয়েক ছিলেন।,নলিনবাবু আপনার $ঐ$ বাসাটাতেই দিন-কয়েক ছিলেন।
কির্কপ্যাট্রিক হচ্ছে স্কট টাউনশিপ হলের অবস্থান।,কির্কপ্যাট্রিক হচ্ছে স্কট টাউনশিপ হলের অবস্থান।
"তাঁর বাকরীতিতে আছে লঘুপক্ষ, ভারহীন দ্রুতগতি, ভাবালুতাশূণ্য বুদ্ধির দীপ্তি, বাঙালী জীবনের জড়ত্ব ও স্থবীরতার বিরুদ্ধে তীব্র আঘাত।","তাঁর বাকরীতিতে আছে লঘুপক্ষ, ভারহীন দ্রুতগতি, ভাবালুতাশূণ্য বুদ্ধির দীপ্তি, বাঙালী জীবনের জড়ত্ব ও $স্থবীরতার$ বিরুদ্ধে তীব্র আঘাত।"
আমি তখনো ধরতে পারিনি দুঃখবোধটাও সম্পদ।,আমি $তখনো$ ধরতে পারিনি দুঃখবোধটাও সম্পদ।
প্যুনিটিভ পুলিসের মতো।,প্যুনিটিভ $পুলিসের$ মতো।
তিনি বলতেন “অরগানিক আর্কিটেকচার” বা “জৈব স্থাপত্যশিল্প”।,তিনি বলতেন$$ “অরগানিক আর্কিটেকচার” বা “জৈব স্থাপত্যশিল্প”।
মানুষের চোখের ভাষা আর শুধু একজন মানুষই পড়তে পারে।,মানুষের চোখের ভাষা আর শুধু একজন মানুষই পড়তে পারে।
এছাড়াও তিনি কাগমারিতে মাওলানা মোহাম্মদ আলী কলেজ এবং পঞ্চবিবিতে নজরুল ইসলাম কলেজ প্রতিষ্ঠা করেন।,এছাড়াও তিনি কাগমারিতে মাওলানা মোহাম্মদ আলী কলেজ এবং পঞ্চবিবিতে নজরুল ইসলাম কলেজ প্রতিষ্ঠা করেন।
"কিন্তু নির্বাচন কমিশনের দাবি, নির্বাচনী তফসিল ঘোষণার পরই ক্ষণগণনা শুরু হবে।","কিন্তু নির্বাচন কমিশনের দাবি, নির্বাচনী তফসিল ঘোষণার পরই ক্ষণগণনা শুরু হবে।"
"তিনি শক্তি প্রদর্শনের রাজনীতি শিখাচ্ছেন, এতে মানুষের মধ্যে স্বস্তি আসে না।","তিনি শক্তি প্রদর্শনের রাজনীতি $শিখাচ্ছেন$, এতে মানুষের মধ্যে স্বস্তি আসে না।"
আজ পর্যন্ত ইউক্কা জেরার্ডের দেওয়া নাম বহন করে।,আজ পর্যন্ত ইউক্কা জেরার্ডের দেওয়া নাম বহন করে।
বড়ো ঠিক কথা বলিয়াছেন।,বড়ো ঠিক কথা $বলিয়াছেন$।
"’আমার ওপর রাগ করেই কী না কে জানে, ডাক্তার সাহেব কোন চিকিৎসাই দিলেন না।","$’আমার$ ওপর রাগ করেই $কী$ না কে জানে, ডাক্তার সাহেব কোন চিকিৎসাই দিলেন না।"
প্রজাতি ও উপপ্রজাতি নিয়ে বিভ্রান্তি এখনও বিদ্যমান।,প্রজাতি ও উপপ্রজাতি নিয়ে বিভ্রান্তি এখনও বিদ্যমান।
দিঘাপতিয়ার রাজবাড়িতে আপনি শতবার আসতে চাইবেন কিন্তু রানী ভবানীর রাজবাড়িতে একবারের বেশী নয়।,দিঘাপতিয়ার রাজবাড়িতে আপনি শতবার আসতে চাইবেন$$ কিন্তু রানী ভবানীর রাজবাড়িতে একবারের $বেশী$ নয়।
কিছু হিন্দি ভূতের ছবি আবার পুরোপুরি প্রাপ্তবয়স্কদের কাহিনিতে ঢুকে পড়া ভূতদের নিয়ে।,কিছু হিন্দি ভূতের ছবি আবার পুরোপুরি প্রাপ্তবয়স্কদের কাহিনিতে ঢুকে পড়া ভূতদের নিয়ে।
পরদিন কুড়ানির আর দেখা পাওয়া গেল না।,পরদিন কুড়ানির আর দেখা পাওয়া গেল না।
হায়দারের বিরুদ্ধে আইনগত ব্যবস্থা নেওয়া হবে বলে জানায় র্যাব।,হায়দারের বিরুদ্ধে আইনগত ব্যবস্থা নেওয়া হবে বলে জানায় র্যাব।
"আরে পাগলি, আমি তোর মা-বাবার মতো ওল্ড ফ্যাশনের নই!","আরে পাগলি, আমি তোর মা-বাবার মতো ওল্ড ফ্যাশনের নই!"
মাথার ওপর আকাশে ঘুরছিল পাকিস্তানি যুদ্ধবিমান।,মাথার ওপর আকাশে ঘুরছিল পাকিস্তানি যুদ্ধবিমান।
"কিন্তু, তারা সমস্যাগুলো সমাধান করতে অসমর্থ হয়েছিল এবং যুদ্ধ অনিবার্য বলে মনে হয়েছিল।","কিন্তু$,$ তারা সমস্যাগুলো সমাধান করতে অসমর্থ হয়েছিল এবং যুদ্ধ অনিবার্য বলে মনে হয়েছিল।"
করপোরেশনের কোনো কর্মকর্তা-কর্মচারী জড়িত থাকলে তাঁদের বিরুদ্ধে কঠোর ব্যবস্থা নেওয়া হবে।,$করপোরেশনের$ কোনো কর্মকর্তা-কর্মচারী জড়িত থাকলে তাঁদের বিরুদ্ধে কঠোর ব্যবস্থা নেওয়া হবে।
ক্রিস্টেল প্রায়ই দেখা যায় এবং এদের সাধারণত খুব উজ্জ্বল ও মসৃণ মুখ থাকে।,ক্রিস্টেল প্রায়ই দেখা যায় এবং এদের সাধারণত খুব উজ্জ্বল ও মসৃণ মুখ থাকে।
এই দু বছর তাদের আশ্রয়েই সে আছে।,এই $দু বছর$ তাদের আশ্রয়েই সে আছে।
পণ্য খালাসের সময় কাত হয়ে লাইটার জাহাজটিতে পানি ঢুকতে শুরু করে।,পণ্য খালাসের সময় কাত হয়ে লাইটার জাহাজটিতে পানি ঢুকতে শুরু করে।
তিনি ব্যাংকিং প্রথা ও দীর্ঘ মেয়াদি অর্থনৈতিক নীতি প্রণয়ন করেন।,তিনি ব্যাংকিং প্রথা ও দীর্ঘ মেয়াদি অর্থনৈতিক নীতি প্রণয়ন করেন।
"এবার লোকগুলো দুই দলে ভাগ হয়ে গেল, এক দল বলল, জানি তো আরেকদল বলল আমরা জানি না।","এবার লোকগুলো দুই দলে ভাগ হয়ে গেল, এক দল বলল, জানি তো আরেকদল বলল আমরা জানি না।"
"তবে পুষ্টিবিদরা বলেন, ডায়াবেটিস রোগীরা দৈনিক ছয় থেকে আটটি খেজুর খেতে পারেন।","তবে পুষ্টিবিদরা বলেন, ডায়াবেটিস রোগীরা দৈনিক ছয় থেকে আটটি খেজুর খেতে পারেন।"
বাংলাদেশের ট্রাইব্যুনালের শুরু থেকে আন্তর্তিক মহল মানবাধিকারের কথা তুলে একে সমালোচনা করেছে।,বাংলাদেশের ট্রাইব্যুনালের শুরু থেকে $আন্তর্তিক$ মহল মানবাধিকারের কথা তুলে একে সমালোচনা করেছে।
"প্রত্যেক দিন ইফাতারির দোকান গুল যে দোকান ছেড়ে বাইরে টেবিল পেতে বেচাকেনা করে, তখন রাস্তার পরিবেশ নষ্ট হয় না?","প্রত্যেক দিন ইফাতারির $দোকান গুল$ যে দোকান ছেড়ে বাইরে টেবিল পেতে বেচাকেনা করে, তখন রাস্তার পরিবেশ নষ্ট হয় না?"
অনেক উপকার করলেন আপনি এগুলোকে এডমিশন কাউন্টারের মিস্টার শ্রীবাস্তবের কাছে নিয়ে যান।,অনেক উপকার করলেন আপনি এগুলোকে এডমিশন কাউন্টারের মিস্টার শ্রীবাস্তবের কাছে নিয়ে যান।
সেই নেশাটা ছুটিয়ে দেওয়ার দায়দায়িত্ব সাকিবই বয়ে নিতে জানেন একার কাঁধে।,সেই নেশাটা ছুটিয়ে দেওয়ার দায়দায়িত্ব সাকিবই বয়ে নিতে জানেন একার কাঁধে।
"ক্লাব দেশের ইতিহাস, সংস্কৃতি ও ঐতিহ্য এবং মহান মুক্তিযুদ্ধ সম্পর্কে সভার আয়োজন করে।","ক্লাব দেশের ইতিহাস, সংস্কৃতি ও ঐতিহ্য এবং মহান মুক্তিযুদ্ধ সম্পর্কে সভার আয়োজন করে।"
লাজুক গলায় বললো- 'ঠিক ওইরকম কিছু না।,লাজুক গলায় $বললো$- 'ঠিক ওইরকম কিছু না।
রমিজ উদ্দিনের পরিবারের মোট সদস্য তাকে নিয়ে পাঁচ জন।,রমিজ উদ্দিনের পরিবারের মোট সদস্য তাকে নিয়ে পাঁচ জন।
তাহলে কি ওর দাদী ওর কাছ থেকে বিদায় নিতে এসেছিল?,তাহলে কি ওর দাদী ওর কাছ থেকে বিদায় নিতে এসেছিল?
"""জুনিয়াসের চিঠি""এর যৌথ লেখকও তিনি।","""জুনিয়াসের চিঠি""$$এর যৌথ লেখকও তিনি।"
ইতিমধ্যে এরশাদ তিনজনের নাম চূড়ান্ত করেছেন বলে কোনো কোনো গণমাধ্যমে খবরও বেরিয়েছে।,$ইতিমধ্যে$ এরশাদ তিনজনের নাম চূড়ান্ত করেছেন বলে কোনো কোনো গণমাধ্যমে খবরও বেরিয়েছে।
আর আমার বাড়ীভাড়া বা খাইখরচের জন্য এক পয়সাও লাগে না।,আর আমার $বাড়ীভাড়া$ বা খাইখরচের জন্য এক পয়সাও লাগে না।
"সেটা হল, কোন স্টুডেন্ট  ভালো করলে যেমনিভাবে আপনি ক্রেডিট নেন, একইভাবে কোন স্টুডেন্ট  খারাপ করলে সেই দায়ভারও আপনাকে নিতে হবে।","সেটা হল, $কোন$ স্টুডেন্ট  ভালো করলে যেমনিভাবে আপনি ক্রেডিট নেন, একইভাবে $কোন$ স্টুডেন্ট  খারাপ করলে সেই দায়ভারও আপনাকে নিতে হবে।"
ঐ দরজা দিয়ে হলওয়ে ধরে সিঁড়িতে চলে যাবে।,ঐ দরজা দিয়ে হলওয়ে ধরে সিঁড়িতে চলে যাবে।
কেবল বাতাসের সাথে এক প্রকারে গ্যাসের গন্ধ পাচ্ছি।,কেবল বাতাসের সাথে এক প্রকারে গ্যাসের গন্ধ পাচ্ছি।
ওয়ার্দা রিহাবের পরিচালনায় ধৃতি নর্তনালয়ের শিল্পীদের শ্যামা নৃত্যনাট্যটিও দ্বিতীয়বার পরিবেশনার কথা রয়েছে।,ওয়ার্দা রিহাবের পরিচালনায় ধৃতি নর্তনালয়ের শিল্পীদের শ্যামা নৃত্যনাট্যটিও দ্বিতীয়বার পরিবেশনার কথা রয়েছে।
বরেণ্য শিশুসাহিত্যিক রোকনুজ্জামান খান দাদাভাইয়ের নামে এবারের শিশু কর্নারটি সাজানো হয়েছে।,বরেণ্য শিশুসাহিত্যিক রোকনুজ্জামান খান দাদাভাইয়ের নামে এবারের শিশু কর্নারটি সাজানো হয়েছে।
"তুমিও যে মান্দ্রাজীদের সঙ্গে যোগদান করে কার্য করছ, সে বড়ই ভাল।","তুমিও যে মান্দ্রাজীদের সঙ্গে যোগদান করে $কার্য$ করছ, সে $বড়ই$ $ভাল$।"
"সময়ের প্রবাহ সঠিক করার পরও, আমাদের মধ্যে কোথাও এই সময়ের ক্রম অনুরণিত হবে।","সময়ের প্রবাহ সঠিক করার পরও, আমাদের মধ্যে কোথাও এই সময়ের ক্রম অনুরণিত হবে।"
"আশার কথা, বিপ্লব দেব এখনো মাথা ঠান্ডা রেখে স্বাভাবিক আচরণ করছেন।","আশার কথা, বিপ্লব দেব এখনো মাথা ঠান্ডা রেখে স্বাভাবিক আচরণ করছেন।"
সুতরাং তৃতীয় পদার্থের আর আবশ্যকতা নাই।,সুতরাং$$ তৃতীয় পদার্থের আর আবশ্যকতা নাই$।$
"পিতার বদলির চাকরির সূত্রে, তাঁর শৈশব কেটেছে নানান জায়গায়।","পিতার বদলির চাকরির সূত্রে, তাঁর শৈশব কেটেছে নানান জায়গায়।"
এটি কিল্ডারের কাউন্টির ছোট অংশও অন্তর্ভুক্ত ছিল।,$এটি$ কিল্ডারের কাউন্টির $ছোট$ অংশও অন্তর্ভুক্ত ছিল।
তখন উক্ত সাংবাদিকের অবস্থা কি হতে পারে আপনারা কল্পনা করেছেন?,তখন উক্ত সাংবাদিকের অবস্থা $কি$ হতে পারে আপনারা কল্পনা করেছেন?
"সেই ভূমাতেই পরম সুখ, অল্পে সুখ নাই।","সেই ভূমাতেই পরম সুখ, অল্পে সুখ $নাই$।"
আজকের রাতের অপারেশনের মূল লক্ষ্য হলো ওকোৎসুকে সবার থেকে আলাদা ও অরক্ষিত করা।,আজকের রাতের অপারেশনের মূল লক্ষ্য হলো$$ ওকোৎসুকে সবার থেকে আলাদা ও অরক্ষিত করা।
অবৈধ বিনাভোটের গভীর রাত্রে পুলিশদিয়ে ভোটচুরি কারি নিলজ্জ মিথ্যাবাদী সন্রাসী হাচিনার কারনে লজ্জিত এবং কলংকিত {} এবং ঘুমখুন নিধন করিতেছে এবং লুটপাট হচ্ছে।,অবৈধ বিনাভোটের $গভীর রাত্রে$ $পুলিশদিয়ে$ $ভোটচুরি কারি$ $নিলজ্জ$ মিথ্যাবাদী $সন্রাসী$ $হাচিনার$ $কারনে$ লজ্জিত এবং $কলংকিত$ ${}$ এবং $ঘুমখুন$ নিধন $করিতেছে$ এবং লুটপাট হচ্ছে$।$
তিনি বোস্টন সেলফ-হেল্প সেন্টারের প্রতিষ্ঠাতা সদস্য এবং উপদেষ্টা ছিলেন।,তিনি বোস্টন সেলফ-হেল্প সেন্টারের প্রতিষ্ঠাতা সদস্য এবং উপদেষ্টা ছিলেন।
দ্রুতই এটা ভারতীয়বিরোধী এবং ক্রমেই মুসলমানবিরোধী দাঙ্গায় রূপ নেয়।,দ্রুতই এটা ভারতীয়বিরোধী এবং ক্রমেই মুসলমানবিরোধী দাঙ্গায় রূপ নেয়।
সেখানে ছেলেটির সত্যিকার বাবার নাম থাকার কথা।,সেখানে ছেলেটির সত্যিকার বাবার নাম থাকার কথা।
বিশেষত খুদে-নামধারী কুকুরটার স্বত্বাধিকার লইয়া উভয়ের মধ্যে আজ পর্যন্ত কোনো মীমাংসা হয় নাই।,বিশেষত খুদে-নামধারী কুকুরটার স্বত্বাধিকার $লইয়া$ উভয়ের মধ্যে আজ পর্যন্ত কোনো মীমাংসা হয় নাই।
তোদের দেশে তা হবার যো নাই।,তোদের দেশে তা হবার $যো$ $নাই$।
এখন এই অবস্থা।,এখন এই অবস্থা।
ওর কাছে পৌছাতে কাউকে উপরে পাঠাতে হলে পাঠানোর অনুমতি দিলাম।,ওর কাছে $পৌছাতে$ কাউকে উপরে পাঠাতে হলে পাঠানোর অনুমতি দিলাম।
"ন্যাশনাল জিওগ্রাফির কারেন্ট ইস্যুটা আছে, গতকালই এসেছে।","ন্যাশনাল জিওগ্রাফির কারেন্ট ইস্যুটা আছে, গতকালই এসেছে।"
স্ট্রস টেক্সাসের লকহার্টে জন্মগ্রহণ করেন।,স্ট্রস টেক্সাসের লকহার্টে জন্মগ্রহণ করেন।
"মনে মনে বললুম, আরও বেশি দাম দিতে হবে বুঝি।","মনে মনে $বললুম$, আরও বেশি দাম দিতে হবে বুঝি।"
1ম প্রশ্ন - ইন্ডিয়ান 2টা বর্ডারে কি আপনাদের বলতে হয়েছে যে আপনারা ভুটান যাবেন ও অন্যান্য কাগজপএও কি দেখাতে হয়েছে ভুটান যাবার,$1$ম প্রশ্ন - ইন্ডিয়ান $2$টা বর্ডারে কি আপনাদের বলতে হয়েছে যে আপনারা ভুটান যাবেন ও অন্যান্য কাগজ$$পএ$$ও কি দেখাতে হয়েছে ভুটান যাবার$$
ও অংকে পেয়েছে মাত্র ৪০।,ও $অংকে$ পেয়েছে মাত্র ৪০।
"দুঃখিত, হুম।","দুঃখিত, হুম$।$"
আজও হয়তো এই গল্পটার দিকে ফিরে চাওয়া যেতে পারে।,আজও হয়তো এই গল্পটার দিকে ফিরে চাওয়া যেতে পারে।
"ধারণা করা হচ্ছে, পালানোর সময় হূদেরাগে আক্রান্ত হয়ে তিনি মারা যান।","ধারণা করা হচ্ছে, পালানোর সময় $হূদেরাগে$ আক্রান্ত হয়ে তিনি মারা যান।"
সন্ধা না হতেই সুড়সুড়ি শুরু হয়ে যায়!,$সন্ধা$ না হতেই সুড়সুড়ি শুরু হয়ে যায়!
এবং আমি তোমাকে খুব মিস করছি।,এবং আমি তোমাকে খুব মিস করছি।
"ওহ, ওয়াও কিসের অবসর?","$ওহ$, ওয়াও$$ $কিসের$ অবসর?"
"ওদের কি উপাধি দেওয়া যায় , শয়তান,ইবলিশ,নরপিশাচ,শুয়ার,কুত্তা,অমানুষ , ধুর ও যায় বলি একটাও ওদের সাথে যাচ্ছে না কম কম লাগছে,কেউ বলে দাও প্লিজ কি  উপাধি দিলে পারফেক্ট হবে।","ওদের $কি$ উপাধি দেওয়া যায়$$ $,$ শয়তান$,$ইবলিশ$,$নরপিশাচ$,$শুয়ার$,$কুত্তা$,$অমানুষ$ $$,$ ধুর ও $যায়$ বলি একটাও ওদের সাথে যাচ্ছে না$$ কম কম লাগছে$,$কেউ বলে দাও প্লিজ $কি$  উপাধি দিলে পারফেক্ট হবে$।$"
নঙ্গোনিয়েল ছিলেন প্রথম টোকি যিনি মাপুচে সেনাবাহিনীর সাথে অশ্বারোহী বাহিনী ব্যবহার করেছিলেন।,নঙ্গোনিয়েল ছিলেন প্রথম টোকি$$ যিনি মাপুচে সেনাবাহিনীর সাথে অশ্বারোহী বাহিনী ব্যবহার করেছিলেন।
এতোদিনের ভালবাসার মানুষটা চোখের সামনে দিয়ে অন্য কারো হয়ে যাবে অথচ ওর কিছুই করার নেই।,$এতোদিনের$ $ভালবাসার$ মানুষটা চোখের সামনে দিয়ে অন্য কারো হয়ে যাবে অথচ ওর কিছুই করার নেই।
আর কোন পুরোন ব্লগারের একটি লেখা পোস্ট হবার সাথে সাথেই হিট!,আর $কোন$ $পুরোন$ ব্লগারের একটি লেখা পোস্ট হবার সাথে সাথেই হিট!
প্রায় তিন বছর ধরে সহিংসতাকবলিত সিরিয়ার প্রেসিডেন্ট বাশার আল-আসাদের অন্যতম প্রধান মিত্র রাশিয়া।,প্রায় তিন বছর ধরে সহিংসতাকবলিত সিরিয়ার প্রেসিডেন্ট বাশার আল-আসাদের অন্যতম প্রধান মিত্র রাশিয়া।
সংঘবদ্ধ অপরাধ ভদ্রবেশী অপরাধের ক্ষেত্রে বৈধ কর্মচারীরা অবৈধ কর্মকান্ডের মাধ্যমে সুবিধা অর্জন করে।,সংঘবদ্ধ অপরাধ ভদ্রবেশী অপরাধের ক্ষেত্রে বৈধ কর্মচারীরা অবৈধ $কর্মকান্ডের$ মাধ্যমে সুবিধা অর্জন করে।
এখানে আছে বাংলাদেশের প্রকাশকদের আলাদা শেলফ।,এখানে আছে বাংলাদেশের প্রকাশকদের আলাদা শেলফ।
"ও সুন্দর একটা মেয়ে, আর তুই তো তুইই।","ও সুন্দর একটা মেয়ে, আর তুই তো $তুইই$।"
"খুকী, প্লিজ।","$খুকী$, প্লিজ।"
"বাহু, বেশ মজা তো!","বাহু, বেশ মজা তো!"
"এমনকি যদি তোমার সব কাপর চোপড় বিক্রি করে রাস্তার কুকুরের সাথে শুয়ে থাকতে হয়, ভয় পেওনা।","এমনকি যদি তোমার সব $কাপর চোপড়$ বিক্রি করে রাস্তার কুকুরের সাথে শুয়ে থাকতে হয়, ভয় $পেওনা$।"
"এই জায়গায় জাহাজ, প্লেন এমনকি মানুষও নাকি হাওয়ায় গায়েব হয়ে গিয়েছে কয়েকবার।","এই জায়গায় জাহাজ, প্লেন এমনকি মানুষও নাকি হাওয়ায় গায়েব হয়ে গিয়েছে কয়েকবার।"
