sentence,gt
"রুটি মদ ফুরিয়ে যাবে, প্রিয়ার কালো চোখ ঘোলাটে হয়ে আসবে।","রুটি মদ ফুরিয়ে যাবে, প্রিয়ার কালো চোখ ঘোলাটে হয়ে আসবে।"
"প্রতিশ্রুতি দিলেন, নির্বাচিত হলে অন্যান্য বিষয়ের মতো ক্রীড়াঙ্গনের সমস্যা নিয়েও কাজ করবেন।","প্রতিশ্রুতি দিলেন, নির্বাচিত হলে অন্যান্য বিষয়ের মতো ক্রীড়াঙ্গনের সমস্যা নিয়েও কাজ করবেন।"
চেয়ে দেখি পাশে উপরের বাংকের শ্বেতাংগ লোকটি শুয়ে শুয়ে চিয়াং মাই এর উপর লেখা একটি বই গভীর মনযোগ দিয়ে পড়ছে।,চেয়ে দেখি পাশে উপরের বাংকের $শ্বেতাংগ$ লোকটি শুয়ে শুয়ে $$চিয়াং মাই$$ $$এর উপর লেখা একটি বই গভীর মনযোগ দিয়ে পড়ছে।
তাকে স্প্রিংফিল্ড হকি হল অব ফেমে অন্তর্ভুক্ত করা হয়েছে।,তাকে স্প্রিংফিল্ড হকি হল অব ফেমে অন্তর্ভুক্ত করা হয়েছে।
কারন দোষ ত্রুটি বললে তার ভালো গুণগুলো ঢেকে ফেলার একটা প্রবণতা থাকে।,$কারন$ দোষ ত্রুটি বললে তার ভালো গুণগুলো ঢেকে ফেলার একটা প্রবণতা থাকে।
"মানে, ট্রেন দুললেই, চেক করতে চলে এসো না, ঠিক আছে?","মানে, ট্রেন দুললেই, চেক করতে চলে এসো না, ঠিক আছে?"
সুযোগ পেলেই এবার থেকে আমি এই জায়গায় চলে আসবো।,সুযোগ পেলেই এবার থেকে আমি এই জায়গায় চলে আসবো।
"ইব্রাহীম (আঃ) তখন তার ভুল বুঝতে পারলেন, এবং ভিক্ষুককে খুঁজতে লাগলেন, কিন্তু তাকে আর পেলেন না।","ইব্রাহীম (আঃ) তখন তার ভুল বুঝতে পারলেন, এবং ভিক্ষুককে খুঁজতে লাগলেন, কিন্তু তাকে আর পেলেন না।"
বুঝা গেছে ব্যাপারটা?,বুঝা গেছে ব্যাপারটা?
যাতে তার প্রাসাদ আরো আকর্ষণীয় হয়ে ওঠে।,যাতে তার প্রাসাদ $আরো$ আকর্ষণীয় হয়ে ওঠে।
আমি ওদের দেখিয়ে দিব আমি কী করতে পারি।,আমি ওদের দেখিয়ে $দিব$$$ আমি কী করতে পারি।
মহিলা বেশ রুচি নিয়ে খাওয়া শুরু করলো।,মহিলা বেশ রুচি নিয়ে খাওয়া শুরু করলো।
এ বন্দোবস্তের শর্তাবলি আদালত কর্তৃক সীলমোহর করা হতো।,এ বন্দোবস্তের শর্তাবলি আদালত কর্তৃক $সীলমোহর$ করা হতো।
রাগের মাথায় তিনি ঘরের পর্দা দিয়ে ফ্যানের সঙ্গে ঝুলে আত্মহত্যা করেছেন।,রাগের মাথায় তিনি ঘরের পর্দা দিয়ে ফ্যানের সঙ্গে ঝুলে আত্মহত্যা করেছেন।
লেখক বইটি এই তিন তিনটি অধিশ্বর নিয়ে গড়ে উঠেছে।,$লেখক$ বইটি এই $তিন তিনটি$ অধিশ্বর নিয়ে গড়ে উঠেছে।
তা ছাড়া মস্তিষ্কের অপারেশন প্রায়ই হয়।,তা ছাড়া মস্তিষ্কের অপারেশন প্রায়ই হয়।
তিনি সঙ্গী হিসেবে পেয়েছেন।,তিনি সঙ্গী হিসেবে পেয়েছেন।
তার নতুন পরিবার নিয়ে।,তার নতুন পরিবার নিয়ে।
"হুম, বেশ, মানুষ জটিল প্রাণী।","হুম, বেশ, মানুষ জটিল প্রাণী।"
"পবিত্র কোরআনে ইরশাদ হচ্ছেঃ ""হে ইমানদারগণ! ","পবিত্র কোরআনে ইরশাদ $হচ্ছেঃ$ ""হে ইমানদারগণ!$$ "
"স্যান্ডি হিল ছিল, উনবিংশ এবং বিংশ শতাব্দীর প্রথম দিকে, অটোয়া এর সবচেয়ে ধনী এলাকা।","স্যান্ডি হিল ছিল$,$ উনবিংশ $এবং$ বিংশ শতাব্দীর প্রথম দিকে$,$ $অটোয়া এর$ সবচেয়ে ধনী এলাকা।"
অথচ মতি তার এ দুঃখের স্বরূপ বোঝে না।,অথচ মতি তার এ দুঃখের স্বরূপ বোঝে না।
কল করে মানা করো।,কল করে মানা করো।
পাহাড়ে সাই ঘুরে যে প্রেম ফাটাইয়াছে এক সাথে।,পাহাড়ে সাই ঘুরে যে প্রেম $ফাটাইয়াছে$ এক সাথে।
"এই পদ্ধতিগুলি সস্তা, আরও দক্ষ এবং দ্রুত ব্যবহারের জন্য প্রমাণিত হয়েছিল।","এই পদ্ধতিগুলি সস্তা, আরও দক্ষ এবং দ্রুত ব্যবহারের জন্য প্রমাণিত হয়েছিল।"
আর খিল্লি করবি না?,আর খিল্লি করবি না?
মাঝে মাঝে ডরথি চেষ্টা করছে দীদার সাথে খুনসুটি করতে কিন্তু দীদা হাসছে বটে প্রাণহীন।,মাঝে মাঝে ডরথি চেষ্টা করছে দীদার সাথে খুনসুটি করতে$$ $কিন্তু$ দীদা হাসছে বটে প্রাণহীন।
"এই আমি তার থেকে বড় গুন্ডা, - হাই।","এই আমি তার থেকে বড় গুন্ডা$, -$ হাই।"
"সে তার জীবনের সবচেয়ে গুরুত্বপূর্ণ জিনিস ছিল, এবং সে মারা গিয়েছিল।","সে তার জীবনের সবচেয়ে গুরুত্বপূর্ণ জিনিস ছিল$,$ এবং সে মারা গিয়েছিল।"
আমাকে বিভিন্ন নামে ডাকলেও আমি একই।,আমাকে বিভিন্ন নামে ডাকলেও আমি একই।
অভিযানে কারখানা থেকে পলিথিন তৈরির বেশ কিছু কাঁচামাল জব্দ করা হয়।,অভিযানে কারখানা থেকে পলিথিন তৈরির বেশ কিছু কাঁচামাল জব্দ করা হয়।
তিনি একজন পূর্ণ বৌদ্ধ ভিক্ষু হয়ে ওঠেন।,তিনি একজন পূর্ণ বৌদ্ধ ভিক্ষু হয়ে ওঠেন।
কিন্তু অহর্নিশি সত্যের সন্ধানে ব্যাকুল থাকেন।,কিন্তু অহর্নিশি সত্যের সন্ধানে ব্যাকুল থাকেন।
একদিন বোম্বে থেকে কিছু কাপড় আমদানির জন্যে অনুমতিপত্র চেয়ে আবেদন করল সে।,একদিন বোম্বে থেকে কিছু কাপড় আমদানির জন্যে অনুমতিপত্র চেয়ে আবেদন করল সে।
তিনি ম্যারিয়নকে তার সাথে যাওয়ার প্রস্তাব দেন।,তিনি ম্যারিয়নকে তার সাথে যাওয়ার প্রস্তাব দেন।
মাল কম খাওয়া হয়েছে,মাল কম খাওয়া হয়েছে$$
প্যারিশ কাউন্সিল সাধারণত বছরে চারবার মিলিত হয়।,$প্যারিশ$ কাউন্সিল সাধারণত বছরে চারবার মিলিত হয়।
বক্ষগহ্বরের ভিতর হৃদপিন্ডের দুই পাশে দুটি ফুসফুস অবস্থিত।,বক্ষগহ্বরের ভিতর হৃদপিন্ডের দুই পাশে দুটি ফুসফুস অবস্থিত।
লর্ড এডিংটন লিবারেল ডেমোক্র্যাটদের বেঞ্চে বসে আছেন।,লর্ড এডিংটন লিবারেল ডেমোক্র্যাটদের বেঞ্চে বসে আছেন।
পরে অবশ্য বাবার সঙ্গেই ব্যবসায় যোগ দেন এবং ব্যবসার প্রসার ঘটাতে থাকেন।,পরে অবশ্য বাবার সঙ্গেই ব্যবসায় যোগ দেন এবং ব্যবসার প্রসার ঘটাতে থাকেন।
"একজন পুরুষ নীল, গোলাপী ও সাদা কম্বলে একটি নবজাত শিশুকে ধরে আছেন।","একজন পুরুষ নীল, $গোলাপী$ ও সাদা কম্বলে একটি নবজাত শিশুকে ধরে আছেন।"
"দুইদিন আগেই হউক বা পরেই হউক, আমি আসিতেছি।","$দুইদিন$ আগেই হউক বা পরেই হউক, আমি $আসিতেছি$।"
"এভাবে সপ্তাহে সাত দিন, সাত রকম নাস্তা।","এভাবে সপ্তাহে সাত দিন, সাত রকম নাস্তা।"
বিহারী রাজলক্ষ্মীর ঘরে প্রবেশ করিল।,বিহারী রাজলক্ষ্মীর ঘরে প্রবেশ $করিল$।
তিনি ছিলেন শহীদ জননী জাহানারা ইমামের জ্যেষ্ঠ পুত্র।,তিনি ছিলেন শহীদ জননী জাহানারা ইমামের জ্যেষ্ঠ পুত্র।
"ওহ, না, না!","$ওহ$, না, না!"
’’ আমি আর কিছু না বলে চুপ করে গেলাম।,$’’$ আমি আর কিছু না বলে চুপ করে গেলাম।
হ্যা সেদিন কোন নিজেদের সমস্যা নিয়ে ঝগড়া হয়নি।,$হ্যা$ সেদিন $কোন$ নিজেদের সমস্যা নিয়ে ঝগড়া হয়নি।
"উঁচু পাহাড়গুলোতে ভাল রাস্তা, ক্যাবল কার বা পায়ে হেঁটে সহজেই যাওয়া যায়।","উঁচু পাহাড়গুলোতে ভাল রাস্তা, ক্যাবল কার বা পায়ে হেঁটে সহজেই যাওয়া যায়।"
দিনের পর দিন নিজেদের বৈশিষ্ট্য বজায় রাখিয়াই এই আদর্শের দিকে অগ্রসর হইতেছে।,দিনের পর দিন নিজেদের বৈশিষ্ট্য বজায় $রাখিয়াই$ এই আদর্শের দিকে অগ্রসর $হইতেছে$।
আপনাদের কি মরার ইচ্ছা হয়েছে?,আপনাদের কি মরার ইচ্ছা হয়েছে?
চট্টগ্রাম নগরের পাথরঘাটা গির্জা সড়ক ধরে এগোতেই এমন দৃশ্য চোখে পড়ল।,চট্টগ্রাম নগরের পাথরঘাটা গির্জা সড়ক ধরে এগোতেই এমন দৃশ্য চোখে $পড়ল$।
পর্ব বাড়ানোর জন্য হুদাই এভাবে রাস্তা দেখানোর কোন প্রয়োজন নাই।,পর্ব বাড়ানোর জন্য হুদাই এভাবে রাস্তা দেখানোর $কোন$ প্রয়োজন $নাই$।
এটা একটা ভালো গল্প।,এটা একটা ভালো গল্প।
"ব্রিফিংয়ে জানানো হয়, করোনা ভাইরাস শনাক্তে গত ২৪ ঘণ্টায় আরও ১৪ হাজার ৬৬৪টি নমুনা পরীক্ষা করা হয়েছে।","ব্রিফিংয়ে জানানো হয়, করোনা ভাইরাস শনাক্তে গত ২৪ ঘণ্টায় আরও ১৪ হাজার ৬৬৪টি নমুনা $পরীক্ষা$ করা হয়েছে।"
দেখুন লোকটিকে আপনি ময়ূর হত্যার অভিযোগ করেছেন?,দেখুন$$ লোকটিকে আপনি ময়ূর হত্যার অভিযোগ করেছেন?
পশু সম্পদ মন্ত্রনালয় আর শিক্ষা অধিদফতরের দুর্নীতি নিয়ে লিখি।,পশু সম্পদ মন্ত্রনালয় আর শিক্ষা অধিদফতরের দুর্নীতি নিয়ে লিখি।
"কেহ কেহ অর্থ চায়, তাহারা অর্থের জন্য কার্য করে।","$কেহ$ $কেহ$ অর্থ চায়, $তাহারা$ অর্থের জন্য $কার্য$ করে।"
"তাকদীর যেন বলছিল, হে বিপুল সেনাবাহিনীর অধিকারী।","তাকদীর যেন বলছিল, হে বিপুল সেনাবাহিনীর অধিকারী।"
"বেঁটে লোকটি বলিল, আমার নাম শ্রীদারুকেশ্বর মুখোপাধ্যায়।","বেঁটে লোকটি $বলিল$, আমার নাম শ্রীদারুকেশ্বর মুখোপাধ্যায়।"
"কি, আমার উপর নজর রাখা শুরু করবি?","কি, আমার উপর নজর রাখা শুরু করবি?"
কিন্তু সেসবের কিছুই তার মনে পড়ে না।,কিন্তু সেসবের কিছুই তার মনে পড়ে না।
"তখন তারা কোনো বিশেষ ঘটনার সাহায্যে, যেমন যুদ্ধ, খরা, অথবা অন্য কোনো প্রাকৃতিক দুর্যোগের ভিত্তিতে বছর মনে রাখত।","তখন তারা কোনো বিশেষ ঘটনার সাহায্যে, যেমন যুদ্ধ, খরা, অথবা অন্য কোনো প্রাকৃতিক দুর্যোগের ভিত্তিতে বছর মনে রাখত।"
লেখক বলেছেনঃ হাটুক ঐ কালনাগিনীমায়া লক্ষ্মী হতচ্ছাড়িবলেছে কুত্তায় কামড়ায় ভাবা যায়?,লেখক $বলেছেনঃ$ হাটুক ঐ $কালনাগিনীমায়া$ লক্ষ্মী $হতচ্ছাড়িবলেছে$ $কুত্তায়$ কামড়ায়$$ ভাবা যায়?
আমরা ঐ শক্তির প্রতিরোধ করিতে পারি না।,আমরা ঐ শক্তির প্রতিরোধ $করিতে$ পারি না।
ভাষাটি সংক্ষিপ্ত ও দীর্ঘ স্বরবর্ণের মধ্যে পার্থক্য তৈরি করে।,ভাষাটি সংক্ষিপ্ত ও দীর্ঘ স্বরবর্ণের মধ্যে পার্থক্য তৈরি করে।
পুরানো রেকর্ড অনুসন্ধান করার প্রতিশ্রুতি দিলেন।,পুরানো রেকর্ড অনুসন্ধান করার প্রতিশ্রুতি দিলেন।
ব্র্যানডনের বিজয়ী ছিলেন লিবারেল-প্রোগ্রেসিভ পার্টির লেসলি ম্যাকডোরম্যান।,ব্র্যানডনের বিজয়ী ছিলেন লিবারেল-প্রোগ্রেসিভ পার্টির লেসলি ম্যাকডোরম্যান।
তাঁরা একই গাছে আলু আর টমেটো ফলাতে সক্ষম হয়েছেন।,তাঁরা একই গাছে আলু আর $টমেটো$ ফলাতে সক্ষম হয়েছেন।
কত আশ্চর্য জিনিস সে দেখিয়াছে এই কয়দিনে!,কত আশ্চর্য জিনিস সে $দেখিয়াছে$ এই কয়দিনে!
এক্ষেত্রে তাকে নতুন ব্যবহারকারীর মত করে অবদান রাখতে হবে।,$এক্ষেত্রে$ তাকে নতুন ব্যবহারকারীর $মত$ করে অবদান রাখতে হবে।
"হেই, বলো তো কোথায় যাচ্ছি আমরা?","হেই, বলো তো কোথায় যাচ্ছি আমরা?"
চিত্তদা ও তার ছোটভাই মারা যাবার পর,চিত্তদা ও তার ছোটভাই মারা যাবার পর$$
সবাই আমার টাকায় ফুর্তি করছিস?,সবাই আমার টাকায় ফুর্তি করছিস?
যাবার আগে আমি ওকে লাইট অফ করে দরজা লক করে দিয়ে যেতে বললাম।,যাবার আগে আমি ওকে লাইট অফ করে দরজা লক করে দিয়ে যেতে বললাম।
তাহার মধ্যে কী চরিতার্থতা ছিল।,$তাহার$ মধ্যে কী চরিতার্থতা ছিল$।$
দুই যুদ্ধাপরাধীর রায় কার্যকর হয়ে গেলে পরিস্থিতি অনেকটাই স্বাভাবিক হয়ে যাবে।,দুই যুদ্ধাপরাধীর রায় কার্যকর হয়ে গেলে পরিস্থিতি অনেকটাই স্বাভাবিক হয়ে যাবে।
অসুখ!,অসুখ!
সিদ্ধান্ত হলো ওটা লাল বৃত্তের মাঝে রঙ দিয়ে আঁকা হবে।,সিদ্ধান্ত হলো ওটা লাল বৃত্তের মাঝে রঙ দিয়ে আঁকা হবে।
বিশ্বকাপের ফাইনালে জার্মানির কাছে হারের ক্ষত অনেক দিনই বয়ে বেড়াতে হবে লিওনেল মেসিকে।,বিশ্বকাপের ফাইনালে জার্মানির কাছে হারের ক্ষত অনেক দিনই বয়ে বেড়াতে হবে লিওনেল মেসিকে।
তরলের নির্দিষ্ট আকার নেই।,তরলের নির্দিষ্ট আকার নেই।
সোজা গিয়ে বামে।,সোজা গিয়ে বামে।
দীর্ঘ স্নানের পর নিসার সাহেবের বেশ ভালোই লাগন।,দীর্ঘ স্নানের পর নিসার সাহেবের বেশ ভালোই $লাগন$।
"ক্ষেমংকরী কহিলেন, আর-জন্মে নিশ্চয়ই তুমি আমার মা ছিলে মা!","ক্ষেমংকরী $কহিলেন$, আর-জন্মে নিশ্চয়ই তুমি আমার মা ছিলে$$ মা!"
সেটা তার জন্য দশ বছর ইতিকাফে থাকার থেকে উত্তম।,সেটা তার জন্য দশ বছর ইতিকাফে থাকার থেকে উত্তম।
তিনি পোলিশ দলের হয়ে সাতটি আন্তর্জাতিক ম্যাচে তিনটি গোল করেন।,তিনি পোলিশ দলের হয়ে সাতটি আন্তর্জাতিক ম্যাচে তিনটি গোল করেন।
এর ট্রান্সমিটার মুডির কাছে অবস্থিত।,এর ট্রান্সমিটার মুডির কাছে অবস্থিত।
টিকটিকি নামে তাদের একটি বিপজ্জনক ছোট প্রাণী আছে।,টিকটিকি নামে তাদের একটি বিপজ্জনক $ছোট$ প্রাণী আছে।
□ জাদুঘর:বাংলার প্রাচীন রাজধানী সোনারগাঁওয়ে এখন রয়েছে লোকশিল্প জাদুঘর।,$□ $জাদুঘর:বাংলার প্রাচীন রাজধানী সোনারগাঁওয়ে এখন রয়েছে লোকশিল্প জাদুঘর।
শোনার আর তর সইছে না।,শোনার আর তর সইছে না।
পরে কমিশনের আপিলের পরিপ্রেক্ষিতে আপিল বিভাগ হাইকোর্টের দেওয়া স্থগিতাদেশ স্থগিত করেন।,পরে কমিশনের আপিলের পরিপ্রেক্ষিতে আপিল বিভাগ হাইকোর্টের দেওয়া স্থগিতাদেশ স্থগিত করেন।
"সিটকা বেঁচে নেই, এই দানবটার কারণে।","সিটকা বেঁচে নেই, এই দানবটার কারণে।"
বুঝতেই পারছেন এই প্রথম মাসুদ রানা পড়েছি।,বুঝতেই পারছেন এই প্রথম মাসুদ রানা পড়েছি।
এ অবস্থায় নাউরু নিজেকে ট্যাক্স হেভেন দেশে পরিণত করার চিন্তা করল।,এ অবস্থায় নাউরু নিজেকে ট্যাক্স হেভেন দেশে পরিণত করার চিন্তা করল।
জয় চাক বান্দরবান ক্যান্টনমেন্ট পাবলিক স্কুল অ্যান্ড কলেজের দশম শ্রেণির ছাত্র।,জয় চাক বান্দরবান ক্যান্টনমেন্ট পাবলিক স্কুল অ্যান্ড কলেজের দশম শ্রেণির ছাত্র।
"আমি আমার বাবুকে জিজ্ঞেস করেছিলাম, “বাবু এর শেষ কোথায়? ","আমি আমার বাবুকে জিজ্ঞেস করেছিলাম, “বাবু এর শেষ কোথায়?$$ "
আমার কাছে কথা দিয়া যাও।,আমার কাছে কথা $দিয়া$ যাও।
"ধর্মীয় মূল্যবোধ তো তাদের মাঝ থেকে উঠেই যাচ্ছে সে সঙ্গে পারিবারিক বন্ধন, সামাজিক মূল্যবোধের বিষয়গুলোও দিন দিন হারাচ্ছে।","ধর্মীয় মূল্যবোধ তো তাদের মাঝ থেকে উঠেই যাচ্ছে সে সঙ্গে পারিবারিক বন্ধন, সামাজিক মূল্যবোধের বিষয়গুলোও দিন দিন হারাচ্ছে।"
তার শিকড় সুপার- ডুপার হিট হয়ে গেল।,তার শিকড় $সুপার- ডুপার$ হিট হয়ে গেল।
এবং সে অনুযায়ী প্রচুর প্রাণশক্তি নিয়ে ঝাঁপিয়ে পড়তে হবে সে স্বপ্ন পূরণের জন্য।,এবং $সে$ অনুযায়ী প্রচুর প্রাণশক্তি নিয়ে ঝাঁপিয়ে পড়তে হবে $সে$ স্বপ্ন পূরণের জন্য।
একদিন সুখের দিন আসিবে।,একদিন সুখের দিন $আসিবে$।
তারপরই নেতৃত্বের প্রতি বিশ্বাস ও ভরসা করা যাবে নিশ্চিন্তে।,তারপরই নেতৃত্বের প্রতি বিশ্বাস ও ভরসা করা যাবে নিশ্চিন্তে।
ফাঁকা না থাকলে কেউ ওভারটেক করে না।,ফাঁকা না থাকলে কেউ ওভারটেক করে না।
আসলে বাবাই আমাদেরকে এখনও তার ছোট ছোট সন্তান মনে করেন।,আসলে বাবাই আমাদেরকে এখনও তার $ছোট ছোট$ সন্তান মনে করেন।
"আদালতে দেওয়া প্রতিবেদনে শাহবাগ থানা-পুলিশ বলেছে, রিপনের বাবার নাম কবির হোসেন।","আদালতে দেওয়া প্রতিবেদনে শাহবাগ থানা-পুলিশ বলেছে, রিপনের বাবার নাম কবির হোসেন।"
তুমি কি আমাকে ব্ল্যাকমেইল করছো?,তুমি কি আমাকে ব্ল্যাকমেইল $করছো$?
আমার মামা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারেন না।,আমার মামা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারেন না।
তিনি নানান নতুন ধরনের বর্ণেরও সৃষ্টি করুণ।,তিনি নানান নতুন ধরনের বর্ণেরও সৃষ্টি $করুণ$।
আমাদের ওই বিদ্যুৎটা লাগবে।,আমাদের ওই বিদ্যুৎটা লাগবে।
রাইনাইর এবং বেলারুশের আইন প্রয়োগকারী সংস্থা উভয়ই বলেছে যে জাহাজে কোন বোমা পাওয়া যায়নি।,রাইনাইর $এবং$ বেলারুশের আইন প্রয়োগকারী সংস্থা উভয়ই বলেছে যে জাহাজে $কোন$ বোমা পাওয়া যায়নি।
"কিন্তু, সে এখনো এসব করেনি কেন?","কিন্তু, সে $এখনো$ এসব করেনি কেন?"
"গাছে ফল বোঁটায় ঝুলে আছে, সেই বোঁটার দাবিকেই চিরকালের বলে মানতে হবে নাকি!","গাছে ফল বোঁটায় ঝুলে আছে, সেই বোঁটার দাবিকেই চিরকালের বলে মানতে হবে $নাকি$!"
এজন্যই হয়তো বাকিরা আমাদের দেখতে পারতো না।,এজন্যই হয়তো বাকিরা আমাদের দেখতে $পারতো$ না।
টুর্নামেন্টের বর্তমান চ্যাম্পিয়ন আফগানিস্তান সাফ থেকে বের হয়ে মধ্য এশিয়ায় নাম লিখেয়েছে।,টুর্নামেন্টের বর্তমান চ্যাম্পিয়ন আফগানিস্তান সাফ থেকে বের হয়ে মধ্য এশিয়ায় নাম লিখেয়েছে।
জীবিকার মাধ্যম খোঁজ করতে হয় দূর পরবাসে; এই সুযোগটা নেয় কিছু অসাধু চক্র ও ঠগবাজ আদম ব্যবসায়ী।,জীবিকার মাধ্যম খোঁজ করতে হয় দূর পরবাসে; এই সুযোগটা নেয় কিছু অসাধু চক্র ও ঠগবাজ আদম ব্যবসায়ী।
আর ডাকবাক্স একটি তালা দ্বারা সংরক্ষিত অবস্থায় থাকে।,আর ডাকবাক্স একটি তালা দ্বারা সংরক্ষিত অবস্থায় থাকে।
সঙ্গে আমাদের বিশ্ববিদ্যালয়ে দেশের অন্যান্য বিশ্ববিদ্যালয়ের চেয়ে প্রায় দ্বিগুণ ঘোষিত বন্ধ রয়েছে।,সঙ্গে আমাদের বিশ্ববিদ্যালয়ে দেশের অন্যান্য বিশ্ববিদ্যালয়ের চেয়ে প্রায় দ্বিগুণ ঘোষিত বন্ধ রয়েছে।
"সমাজ-সংসার থেকে আলাদা হয়ে বাস করতে তাঁর ভালো লাগে, আবার লাগে না।","সমাজ-সংসার থেকে আলাদা হয়ে বাস করতে তাঁর ভালো লাগে, আবার লাগে না।"
আঠারো বছর বয়স থেকে মার্কেস তাঁর নানাবাড়ীর গ্রামকে নিয়ে একটি উপন্যাস লেখার স্বপ্ন লালন করেছেন।,আঠারো বছর বয়স থেকে মার্কেস তাঁর নানাবাড়ীর গ্রামকে নিয়ে একটি উপন্যাস লেখার স্বপ্ন লালন করেছেন।
"চরম তাপদাহে শীতলতার ছোঁয়া সে হাতে, আবার তীব্র শীতে সে হাত উষ্ণতা ছড়াতো অামার মাঝে।","চরম তাপদাহে শীতলতার ছোঁয়া সে হাতে, আবার তীব্র শীতে সে হাত উষ্ণতা $ছড়াতো$ $অামার$ মাঝে।"
তিনি মক্কার নিকটে তার বাবার উট চরাতেন।,তিনি মক্কার নিকটে তার বাবার উট $চরাতেন$।
তারা ক্যালকুলেটরে হিসাব করে বিনিময়ী রুপী হাসানের হাতে দিলো।,তারা ক্যালকুলেটরে হিসাব করে বিনিময়ী রুপী হাসানের হাতে দিলো।
যার আর কোনো পরিবর্তন ঘটার ছিল না।,যার আর কোনো পরিবর্তন ঘটার ছিল না।
হাকেম; ৩৪. সমাজের ভালো লোকেরা দ্রুত বিলুপ্ত হবে ও নিচু লোকদের উত্থান হবে।,$হাকেম;$ ৩৪. সমাজের ভালো লোকেরা দ্রুত বিলুপ্ত হবে ও নিচু লোকদের উত্থান হবে।
"কিশোর বয়সে, ইননেস নিউ ইয়র্ক সিটিতে একজন মানচিত্র খোদাইকারী হিসেবে কাজ করতেন।","কিশোর বয়সে$,$ ইননেস নিউ ইয়র্ক সিটিতে একজন মানচিত্র খোদাইকারী হিসেবে কাজ করতেন।"
আমাদের মতো মানুষের জন্য লাখ লাখ টাকা খরচ করে চিকিৎসা করা কঠিন।,আমাদের মতো মানুষের জন্য লাখ লাখ টাকা খরচ করে চিকিৎসা করা কঠিন।
ওবামা বাদশাহ সালমানের কাছে সৌদি আরবের মানবাধিকার ইস্যু নিয়েও প্রশ্ন তোলেন।,ওবামা বাদশাহ সালমানের কাছে সৌদি আরবের মানবাধিকার ইস্যু নিয়েও প্রশ্ন তোলেন।
সদ্যই ক্লাব বিশ্বকাপ জিতে ফেরত আসায় তাদের গায়ে ছিল বিশ্বসেরা ক্লাবের তকমা।,সদ্যই ক্লাব বিশ্বকাপ জিতে ফেরত আসায় তাদের গায়ে ছিল বিশ্বসেরা ক্লাবের তকমা।
তবু গানগুলোকেই এসময়ে প্রতিনিধিত্বমূলক লেখা বলব।,তবু গানগুলোকেই এসময়ে প্রতিনিধিত্বমূলক লেখা বলব।
"কিচ্ছু হয়নি, শান্ত হও।","$কিচ্ছু$ হয়নি, শান্ত হও।"
"সম্পাদক এহতেশাম হায়দার চৌধুরী দ্বিধান্বিত ছিলেন, ছাত্রকে কেমন করে চাকরি দেবেন।","সম্পাদক এহতেশাম হায়দার চৌধুরী দ্বিধান্বিত ছিলেন, ছাত্রকে কেমন করে চাকরি দেবেন।"
ব্যাপারটা যে এত বিরাট হইয়া উঠিবে তখনো শশী কল্পনা করে নাই।,ব্যাপারটা যে এত বিরাট $হইয়া$ $উঠিবে$ $তখনো$ শশী কল্পনা $করে নাই$।
তোমার পান্ডার কী হলো?,তোমার পান্ডার কী হলো?
এই ধরণের বিস্তারিত বর্ণনা পাওয়ার জন্য মন যখন ক্ষুধার্থ তখনই মনের সেই ক্ষুধা নাশ করল শ্রী উপেন্দ্রকিশোর রায়ের ছেলেদের রামায়ন ও ছেলেদের মহাভারত বই দুটো।,এই ধরণের বিস্তারিত বর্ণনা পাওয়ার জন্য মন যখন ক্ষুধার্থ তখনই মনের সেই ক্ষুধা নাশ করল শ্রী উপেন্দ্রকিশোর রায়ের ছেলেদের রামায়ন ও ছেলেদের মহাভারত বই দুটো।
সীমিত আকারে গণপরিবহন চলবে কবে হতে?,সীমিত আকারে গণপরিবহন চলবে কবে হতে?
আমাদের এমন ধরণের প্রশ্ন করা উচিত নয়।,আমাদের এমন ধরণের প্রশ্ন করা উচিত নয়।
শান্তি অবশ্য পায় যে উপযুক্ত হয়কাজ ও কৃতজ্ঞতায়।,শান্তি অবশ্য পায় যে উপযুক্ত হয়$$কাজ ও কৃতজ্ঞতায়।
এমনি করিয়া কাজ শিখিয়া লইতে হরলালের বিলম্ব হইল না।,$এমনি$ $করিয়া$ কাজ $শিখিয়া$ $লইতে$ হরলালের বিলম্ব $হইল$ না।
"পবিত্র কোরআনে বলা হয়েছে, ‘সময়ের কসম!","পবিত্র কোরআনে বলা হয়েছে, ‘সময়ের কসম!"
কাঠের পাইন উচ্চতর উচ্চতায় পাওয়া যায়।,কাঠের পাইন উচ্চতর উচ্চতায় পাওয়া যায়।
ফেনী শহরের ট্রাংক রোডে প্রেসক্লাবের সামনে দুপুরে পাঁচটি ককটেলের বিস্ফোরণ ঘটান হরতাল-সমর্থকেরা।,ফেনী শহরের ট্রাংক রোডে প্রেসক্লাবের সামনে দুপুরে পাঁচটি ককটেলের বিস্ফোরণ ঘটান হরতাল-সমর্থকেরা।
বাবার কিছু একটা হয়েছে।,বাবার কিছু একটা হয়েছে।
"এতটুকু ছেলে, কাচা সোনার মতো কী তার রঙ।","এতটুকু ছেলে, $কাচা$ সোনার মতো কী তার $রঙ$$।$"
"আমি চলে এসেছি, এখন তুমি ওঁকে চলে যেতে বলো।","আমি চলে এসেছি, এখন তুমি ওঁকে চলে যেতে বলো।"
